Appelation;Mise_sous;Commentaire (X=à ignorer);Nb;First;Last;Mea_Sp;Mea_Su;Mea_Au;Mea_Wi
Goniodoma polyedricum;Dinophyceae;;1;12/04/2006;12/04/2006;200;NA;NA;NA
Goniodomataceae;Dinophyceae;;2;13/10/2008;16/03/2015;100;NA;200;NA
Gonyaulacaceae;Dinophyceae;;2;21/01/2019;02/07/2019;NA;400;NA;100
Gonyaulax;;;158;21/06/1993;16/10/2019;5255.26;1548.88;559.05;150
Gonyaulax spinifera;;;57;21/07/1987;14/08/2019;2652.94;1880;640;133.33
Gonyaulax verior;Gonyaulax;;2;07/08/2006;08/08/2006;NA;75377.5;NA;NA
Grammatophora;;;151;05/08/1987;18/11/2019;410.26;186.9;194.05;185.45
Grammatophora serpentina;Grammatophora;;7;07/12/2009;30/11/2015;550;300;100;300
Guinardia;X;;267;17/06/1987;09/10/2013;3019.13;5692.19;480.03;200
Guinardia delicatula;;;1289;17/06/1987;17/12/2019;95475.22;42418.1;10719.03;2103.08
Guinardia flaccida;;;262;12/08/1997;18/11/2019;2919.92;3255.47;1814.9;125
Guinardia striata;;;758;10/07/1987;02/12/2019;16598.83;31875.44;8312.84;870.37
Gymnodiniaceae;;;134;28/06/2004;04/11/2019;360.71;6507.14;5225.58;200
Gymnodiniales;;;99;12/03/2012;30/12/2019;1656.07;4624.79;1432.4;736.86
Gymnodinium;;;606;17/06/1987;03/05/2019;1872.83;10006.21;2771.66;969.81
Gymnodinium + Gyrodinium;X;différenciées;7;23/07/2012;26/02/2019;NA;866.67;300;300
Gymnodinium catenatum;Gymnodiniales;;1;25/08/2003;25/08/2003;NA;400;NA;NA
Gyrodinium;;;663;17/06/1987;29/11/2019;919.74;1474.33;634.13;199.25
Gyrodinium spirale;Gyrodinium;;447;05/08/1987;16/09/2019;1376.77;1066.95;454.11;181.8
Gyrosigma;Pleurosigma + Gyrosigma;;9;03/03/2009;04/06/2019;294.25;1010.33;NA;200
Hantzschia;Nitzschia + Hantzschia;;4;13/10/2014;21/11/2016;NA;NA;133.33;100
Haptolina hirta + ericina + Chrysochromulina spinifera;X;;1;02/01/2012;02/01/2012;NA;NA;NA;800
Haslea;Navicula + Fallacia + Haslea + Lyrella + Petroneis;;25;20/08/2007;07/10/2019;150;308.33;150;300
Haslea wawrikae;Navicula + Fallacia + Haslea + Lyrella + Petroneis;;8;07/09/2015;01/08/2019;200;733.33;200;133.33
Helicotheca;;;58;21/02/1992;04/12/2019;1135.73;266.67;450;260.71
Helicotheca tamesis;Helicotheca;;1;18/12/2018;18/12/2018;NA;NA;NA;200
Hemiaulus;;;4;07/05/1996;01/08/2019;800;300;3000;NA
Heterocapsa;;;110;07/08/2006;02/12/2019;864.05;8852.06;863.88;1502.33
Heterocapsa niei;Heterocapsa;;154;05/08/1987;17/08/2015;253.66;1021.82;628.26;150
Heterocapsa rotundata;Heterocapsa;;12;02/05/1990;15/11/2011;10866.67;10060;800;3300
Heterocapsa triquetra;;;315;18/08/1992;29/07/2019;11848.76;1984.55;670.59;629.73
Heterosigma;X;nano;13;17/12/2008;07/04/2017;784.67;1096.62;600;877
Heterosigma akashiwo;X;nano;19;26/09/2003;25/04/2017;1000;1588.5;14580;NA
Hyalodiscaceae;X;nano;11;31/10/1997;01/12/2014;200;100;120;250
Karenia;Gymnodiniales;;2;08/02/2008;04/08/2016;NA;1600;NA;100
Karenia mikimotoi;;;247;02/06/1987;24/10/2018;1020.69;15853.25;166.07;15.79
Kareniaceae;Gymnodiniales;;1;22/05/2019;22/05/2019;400;NA;NA;NA
Karlodinium;X;;11;23/07/2008;16/04/2019;200;6836;150;100
Karlodinium veneficum;X;;1;07/04/2011;07/04/2011;100;NA;NA;NA
Katodinium;;;360;30/06/1988;04/11/2019;907.21;1416.01;1084.21;234.62
Katodinium glaucum;Katodinium;;11;23/06/2008;02/07/2018;NA;225;300;NA
Kryptoperidinium foliaceum;X;;2;18/08/1992;14/05/2007;400;400;NA;NA
Lauderia;Lauderia + Detonula;;11;28/10/2008;13/11/2018;2325;1200;1319.25;800
Lauderia + Detonula;;;479;17/09/1987;30/12/2019;27035.13;7536.77;3286.33;1890.18
Lauderia annulata;Lauderia + Detonula;;26;11/02/2008;16/09/2019;5380.62;NA;8644.33;1385.71
Lepidodinium chlorophorum;;;14;25/08/2003;02/09/2019;NA;140820;2740;NA
Leptocylindrus;;;558;17/06/1987;12/06/2019;10640.39;122485.44;58809.57;15086.21
Leptocylindrus danicus;Leptocylindrus, complexe danicus groupe des larges (danicus + curvatus + mediterraneus + aporus + convexus + hargravesii + adriaticus);;111;20/10/2008;18/11/2019;13856.13;154950.29;18967.44;NA
Leptocylindrus minimus;Leptocylindrus, complexe minimus groupe des fines (L. minimus + Tenuicylindrus belgicus);;457;07/07/1987;16/12/2019;4055.17;116389.58;29130.36;1442.86
Leptocylindrus, complexe danicus groupe des larges (danicus + curvatus + mediterraneus + aporus + convexus + hargravesii + adriaticus);;;286;02/06/1987;07/10/2019;4023.2;39582.48;8117.46;587.5
Leptocylindrus, complexe minimus groupe des fines (L. minimus + Tenuicylindrus belgicus);;;11;05/06/2018;05/08/2019;NA;2975;600;600
Licmophora;;;188;07/07/1987;02/12/2019;495.95;804.38;202.41;285.13
Lingulodinium polyedrum;Lingulodinium polyedra;;4;16/07/2015;08/08/2018;NA;150;NA;NA
Lithodesmium;;;37;11/01/1988;02/07/2019;NA;2623.08;1147.83;133.33
Lithodesmium undulatum;Lithodesmium;;63;06/08/2003;30/10/2019;NA;4418.42;791.67;200
Mediopyxis;;On en voit peu et plus depuis qq années mais je laisser ce genre..;2;17/06/2019;02/07/2019;NA;650;NA;NA
Melosira;;;137;07/07/1987;05/02/2018;3125.24;1923.44;2776.89;2055.13
Melosiraceae;;;55;07/11/2005;17/12/2019;8121.05;2363.64;1684.62;769.23
Mesodinium;Mesodinium rubrum;;28;25/07/2002;03/09/2019;3120;4722.1;2174.83;575
Mesodinium rubrum;;;242;21/08/1989;30/12/2019;453.83;1719.89;266.9;162.5
Meuniera membranacea;;;198;17/11/1988;22/10/2019;4209.93;3050.81;1861.28;864.58
Micracanthodinium;X;;1;25/07/2003;25/07/2003;NA;100;NA;NA
Microcystis;X;;1;12/05/2010;12/05/2010;43000;NA;NA;NA
Minutocellus;X;;1;06/04/2010;06/04/2010;1200;NA;NA;NA
Navicula;Navicula + Fallacia + Haslea + Lyrella + Petroneis;;109;06/11/2008;02/12/2019;997.64;2513.74;2213.74;880
Navicula + Fallacia + Haslea + Lyrella + Petroneis;;;923;21/05/1987;30/12/2019;937.61;2063.34;836.84;592.47
