Appelation;Mise_sous;Commentaire (X=à ignorer);Nb;First;Last;Mea_Sp;Mea_Su;Mea_Au;Mea_Wi
Pseudo-nitzschia delicatissima;Pseudo-nitzschia, complexe delicatissima, groupe des fines (calliantha + delicatissima + pseudodelicatissima + subcurvata);;263;12/11/1987;03/03/2010;53693.77;8067.53;1858.5;136.73
Pseudo-nitzschia fraudulenta;Pseudo-nitzschia, complexe seriata, groupe des larges (australis + fraudulenta + seriata + subpacifica);;2;09/10/2012;07/08/2018;NA;200;200;NA
Pseudo-nitzschia pungens;Pseudo-nitzschia, complexe seriata, groupe des effilées (multiseries + pungens);;1;17/08/1994;17/08/1994;NA;100;NA;NA
Pseudo-nitzschia seriata;Pseudo-nitzschia, complexe seriata, groupe des larges (australis + fraudulenta + seriata + subpacifica);;355;21/05/1987;03/03/2010;11704.5;21973.77;17051.62;400.6
Pseudo-nitzschia subpacifica;Pseudo-nitzschia, complexe seriata, groupe des larges (australis + fraudulenta + seriata + subpacifica);;3;17/11/2014;20/05/2019;1000;400;400;NA
Pseudo-nitzschia, complexe americana (americana + brasiliana);;;153;12/06/2012;03/12/2019;1427.7;28705;3910.59;1201.78
Pseudo-nitzschia, complexe delicatissima, groupe des fines (calliantha + delicatissima + pseudodelicatissima + subcurvata);;;550;04/05/2005;06/11/2019;110795.36;38092.38;21094.55;2303.02
Pseudo-nitzschia, complexe seriata, groupe des effilées (multiseries + pungens);;;128;26/06/2006;16/12/2019;26108.56;23641.55;6668.73;3678.5
Pseudo-nitzschia, complexe seriata, groupe des larges (australis + fraudulenta + seriata + subpacifica);;;627;04/05/2005;16/12/2019;38342.1;25006.8;2737.13;1109.74
Pseudo-nitzschia, groupe des larges asymétriques (australis + seriata + subpacifica);;;61;17/09/2007;07/10/2019;73931.85;76174.89;716.67;1398.12
Pseudo-nitzschia, groupe des larges symétriques (fraudulenta);;;95;03/09/2007;22/10/2019;10146.55;7680.5;400;3278.29
Pseudo-nitzschia, groupe des sigmoïdes (multistriata);;;157;07/08/2007;16/12/2019;300;7825.13;21892.58;600.32
Pseudosolenia;;;1;01/03/2017;01/03/2017;200;NA;NA;NA
Pyramimonas;X;nano;59;21/02/1992;19/11/2019;1100;5219.76;1043.69;366.75
Pyramimonas longicauda;X;nano;5;21/07/2017;12/08/2019;NA;320;NA;NA
Pyrocystaceae;X;;7;10/05/1994;25/06/2014;200;366.67;1295;NA
Pyrocystis;;;10;22/04/2003;16/09/2019;1701.33;220;100;100
Pyrophacaceae;Gonyaulacales;Disons que moi j'aurai mis pyrophacus. Le personne qui a identifié a préféré remonter mais comme je ne connais pas fragilidium je ne sais si elles sont dures à séparer… ;1;01/06/2018;01/06/2018;NA;100;NA;NA
Pyrophacus;;;9;20/04/1993;17/07/2019;237.5;100;NA;NA
Raphidophyceae;;;1;04/06/2019;04/06/2019;NA;7893;NA;NA
Rhabdonema;X;;4;23/05/1989;22/10/2002;100;NA;266.67;NA
Rhaphoneis;Rhaphoneis + Delphineis;;132;13/11/2008;19/11/2019;9458.12;4282.91;19067.55;12144.54
Rhaphoneis + Delphineis;;;254;05/08/1987;18/11/2019;9665.31;6842.82;7279.67;3945.51
Rhizosolenia;X;x al'epoque certain rhizoslenia sont maintenant devenus guinardia ou dactylosolen;80;21/05/1987;23/07/2012;19139.55;11811.71;671.67;100
Rhizosolenia hebetata;X;;3;17/11/1988;03/05/1989;700;NA;36400;700
Rhizosolenia imbricata;Rhizosolenia imbricata + styliformis;;24;28/10/2008;26/11/2018;14645.67;6202.78;18412.5;977
Rhizosolenia imbricata + styliformis;;;993;10/07/1987;17/12/2019;17595.95;28674.07;8670.79;473.64
Rhizosolenia robusta;X;;5;21/03/1996;26/11/2007;1250;100;522.33;NA
Rhizosolenia setigera;Rhizosolenia setigera + setigera f. pungens;;27;06/11/2008;20/12/2017;2317;582.43;133.33;183.33
Rhizosolenia setigera + setigera f. pungens;;;988;17/06/1987;30/12/2019;5192.59;6912.31;812.61;453.32
Rhizosolenia setigera f. pungens;Rhizosolenia setigera + setigera f. pungens;;1;24/04/2013;24/04/2013;100;NA;NA;NA
Rhizosolenia styliformis;Rhizosolenia imbricata + styliformis;;3;18/06/2010;18/08/2015;NA;433.33;NA;NA
Scenedesmus;;;194;22/02/1988;16/12/2019;1852.14;1567.43;1423.65;332.05
Scrippsiella;;;84;09/10/2008;02/12/2019;1068.41;1486.5;809.33;406
Scrippsiella + Ensiculifera + Pentapharsodinium;Scrippsiella;;810;21/07/1987;16/12/2019;805.37;5805.57;10531.85;204.46
Skeletonema;;;231;07/01/2010;30/12/2019;72330.43;244622.95;10870.68;25835.62
Skeletonema costatum;Skeletonema;;941;30/09/1987;19/11/2019;55774.99;216741.21;28920.28;117983.37
Stauroneis;X;;12;17/06/1987;29/09/2003;1083.33;1000;700;NA
Stephanopyxis;;;31;18/07/1990;19/11/2002;1581.25;1700;4577.08;200
Striatella;;;29;14/06/1989;05/07/2019;380;250;216.67;100
Synedra + Toxarium;;;73;05/08/1988;09/11/2010;2322.71;6364.08;442.44;1002.29
Tetraselmis + Prasinocladus;X;nano;3;04/07/2005;19/09/2006;NA;400;1300;NA
Thalassionema;;;185;04/02/2013;30/12/2019;2680.7;8560;815.15;1135.42
Thalassionema nitzschioides;Thalassionema;;745;05/08/1987;02/12/2019;15565.11;10529.72;4001.99;6562.76
Thalassionemataceae;Thalassionema;;275;12/08/1987;02/01/2019;2543.06;1405.08;985.9;943.94
Thalassiosira;Thalassiosira + Porosira;;91;09/10/2008;02/12/2019;35733.07;5492.21;3079.96;14812.85
Thalassiosira + Porosira;Thalassiosira + Porosira;;835;17/06/1987;17/12/2019;55010.93;10540.95;4052.57;5783.21
Thalassiosira angulata;Thalassiosira + Porosira;;73;05/05/1997;24/02/2016;15179.03;3808;4714.29;6063
Thalassiosira antarctica;Thalassiosira + Porosira;;83;15/04/2002;02/07/2019;11939.92;3353.3;810.8;5370.95
Thalassiosira eccentrica;Thalassiosira + Porosira;;1;21/01/2019;21/01/2019;NA;NA;NA;300
Thalassiosira gravida;;;802;31/07/1987;30/12/2019;19533.17;9444.07;2954.71;3906.27
Thalassiosira levanderi;Thalassiosira levanderi + minima;;17;13/11/2008;03/12/2019;193075;69350;53975.75;7183.5
Thalassiosira levanderi + minima;;;458;07/03/1989;30/12/2019;41931.02;5679.59;2589.16;8623.91
Thalassiosira nordenskioeldii;Thalassiosira + Porosira;;76;14/04/1989;22/03/2019;40895.22;5681.25;4648;4019.36
Thalassiosira punctigera;Thalassiosira + Porosira;;4;11/02/2008;04/01/2016;100;NA;100;100
Thalassiosiraceae;Thalassiosira + Porosira;;171;19/12/2000;17/12/2018;11093.02;18897.22;560.78;400
Tiarina;;;14;10/11/2015;02/09/2019;NA;463.64;100;NA
Torodinium;;;273;30/06/1988;16/12/2019;225.48;720.88;226.68;162.5
Triceratium;X;;6;19/06/1992;14/12/2015;100;700;NA;3508
Trieres mobiliensis;Odontella;;76;22/02/1990;24/02/2016;4352.78;4482.47;2035.93;1096.72
Trieres regia;Odontella;;175;22/02/1990;26/01/2017;13428.83;3942.24;1168.9;3515.55
Trigonium alternans;;;108;17/09/1987;17/12/2019;700.89;2356.79;2145.35;336.84
Tripos fusus;X;;8;28/06/1988;26/07/2004;NA;745;133.33;NA
Tripos lineatus;X;;1;15/09/2014;15/09/2014;NA;NA;200;NA
Tripos lineatus + minutus;;;4;26/07/2004;20/05/2019;100;250;100;NA
Warnowia + Nematodinium + Nematopsides;;;9;18/10/1990;22/09/2003;133.33;600;280;NA
Warnowia;Warnowia + Nematodinium + Nematopsides;;;;;;;;
