Lieu.de.surveillance...Identifiant;Lieu.de.surveillance...Libellé;Lieu.de.surveillance...Mnémonique;Passage...Date;Passage...Jour;Passage...Mois;Passage...Année;Sonde;Coordonnées.passage...Coordonnées.minx;Coordonnées.passage...Coordonnées.miny;Prélèvement...Niveau;Résultat...Code.paramètre;Saison;JourAnnée;Week;Résultat...Valeur.de.la.mesure
3006001;At so;006-P-001;05/12/1991;5;12;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Winter;338;48;30.5
3006001;At so;006-P-001;05/12/1991;5;12;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Winter;338;48;8
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Winter;6;1;2.242
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Winter;6;1;0.15
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Winter;6;1;16.145
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Winter;6;1;2.691
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Winter;6;1;1.651
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Winter;6;1;32
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Winter;6;1;7.605
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Winter;6;1;7.5
3006001;At so;006-P-001;07/02/1992;7;2;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Winter;37;5;0.48
3006001;At so;006-P-001;07/02/1992;7;2;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Winter;37;5;0.06
3006001;At so;006-P-001;07/02/1992;7;2;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Winter;37;5;10.1
3006001;At so;006-P-001;07/02/1992;7;2;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Winter;37;5;13.76
3006001;At so;006-P-001;07/02/1992;7;2;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Winter;37;5;0.984
3006001;At so;006-P-001;07/02/1992;7;2;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Winter;37;5;31.5
3006001;At so;006-P-001;07/02/1992;7;2;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Winter;37;5;3.151
3006001;At so;006-P-001;07/02/1992;7;2;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Winter;37;5;5
3006001;At so;006-P-001;09/03/1992;9;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Spring;68;10;24.51
3006001;At so;006-P-001;09/03/1992;9;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;68;10;0.15
3006001;At so;006-P-001;09/03/1992;9;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;68;10;0.15
3006001;At so;006-P-001;09/03/1992;9;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Spring;68;10;8.01
3006001;At so;006-P-001;09/03/1992;9;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Spring;68;10;0.08
3006001;At so;006-P-001;09/03/1992;9;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;68;10;30
3006001;At so;006-P-001;09/03/1992;9;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Spring;68;10;0.51
3006001;At so;006-P-001;09/03/1992;9;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;68;10;8.5
3006001;At so;006-P-001;31/03/1992;31;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Spring;90;13;21.55
3006001;At so;006-P-001;31/03/1992;31;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;90;13;0.44
3006001;At so;006-P-001;31/03/1992;31;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;90;13;13.17
3006001;At so;006-P-001;31/03/1992;31;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Spring;90;13;4.15
3006001;At so;006-P-001;10/09/1992;10;9;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;253;36;16
3006001;At so;006-P-001;28/09/1992;28;9;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;271;39;28
3006001;At so;006-P-001;28/09/1992;28;9;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;271;39;17
3006001;At so;006-P-001;13/10/1992;13;10;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Autumn;286;41;3.76
3006001;At so;006-P-001;13/10/1992;13;10;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Autumn;286;41;6.61
3006001;At so;006-P-001;13/10/1992;13;10;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Autumn;286;41;2.23
3006001;At so;006-P-001;13/10/1992;13;10;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Autumn;286;41;14.46
3006001;At so;006-P-001;13/10/1992;13;10;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Autumn;286;41;0.48
3006001;At so;006-P-001;13/10/1992;13;10;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;286;41;29
3006001;At so;006-P-001;13/10/1992;13;10;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Autumn;286;41;11.15
3006001;At so;006-P-001;13/10/1992;13;10;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;286;41;13
3006001;At so;006-P-001;23/11/1992;23;11;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Autumn;327;47;0.48
3006001;At so;006-P-001;23/11/1992;23;11;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Autumn;327;47;9.38
3006001;At so;006-P-001;23/11/1992;23;11;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Autumn;327;47;13.6
3006001;At so;006-P-001;23/11/1992;23;11;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Autumn;327;47;3.78
3006001;At so;006-P-001;23/11/1992;23;11;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Autumn;327;47;1.52
3006001;At so;006-P-001;23/11/1992;23;11;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;327;47;29.5
3006001;At so;006-P-001;23/11/1992;23;11;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Autumn;327;47;12.05
3006001;At so;006-P-001;23/11/1992;23;11;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;327;47;10
3006001;At so;006-P-001;10/12/1992;10;12;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Winter;344;49;1.2
3006001;At so;006-P-001;10/12/1992;10;12;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Winter;344;49;5.84
3006001;At so;006-P-001;10/12/1992;10;12;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Winter;344;49;28.98
3006001;At so;006-P-001;10/12/1992;10;12;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Winter;344;49;3.79
3006001;At so;006-P-001;10/12/1992;10;12;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Winter;344;49;2.73
3006001;At so;006-P-001;10/12/1992;10;12;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Winter;344;49;29.5
3006001;At so;006-P-001;10/12/1992;10;12;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Winter;344;49;12.58
3006001;At so;006-P-001;10/12/1992;10;12;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Winter;344;49;9
3006001;At so;006-P-001;29/01/1993;29;1;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Winter;28;4;1.63
3006001;At so;006-P-001;29/01/1993;29;1;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Winter;28;4;36.45
3006001;At so;006-P-001;29/01/1993;29;1;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Winter;28;4;1.6
3006001;At so;006-P-001;08/03/1993;8;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Spring;66;9;2.5
3006001;At so;006-P-001;08/03/1993;8;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Spring;66;9;8.57
3006001;At so;006-P-001;08/03/1993;8;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Spring;66;9;17.39
3006001;At so;006-P-001;08/03/1993;8;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;66;9;30.5
3006001;At so;006-P-001;08/03/1993;8;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;66;9;6
3006001;At so;006-P-001;23/03/1993;23;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;81;12;0.47
3006001;At so;006-P-001;23/03/1993;23;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;81;12;23.09
3006001;At so;006-P-001;23/03/1993;23;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Spring;81;12;0.53
3006001;At so;006-P-001;23/03/1993;23;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Spring;81;12;0.1
3006001;At so;006-P-001;23/03/1993;23;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Spring;81;12;6.33
3006001;At so;006-P-001;23/03/1993;23;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Spring;81;12;16.21
3006001;At so;006-P-001;23/03/1993;23;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;81;12;31
3006001;At so;006-P-001;23/03/1993;23;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;81;12;8
3006001;At so;006-P-001;09/04/1993;9;4;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;98;14;0.42
3006001;At so;006-P-001;09/04/1993;9;4;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;98;14;3.04
3006001;At so;006-P-001;29/01/1993;29;1;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Winter;28;4;21.5
3006001;At so;006-P-001;29/01/1993;29;1;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Winter;28;4;1.04
3006001;At so;006-P-001;29/01/1993;29;1;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Winter;28;4;1.03
3006001;At so;006-P-001;29/01/1993;29;1;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Winter;28;4;27
3006001;At so;006-P-001;29/01/1993;29;1;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Winter;28;4;8
3006001;At so;006-P-001;11/02/1993;11;2;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Winter;41;6;2.42
3006001;At so;006-P-001;11/02/1993;11;2;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Winter;41;6;32.64
3006001;At so;006-P-001;11/02/1993;11;2;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Winter;41;6;1.29
3006001;At so;006-P-001;11/02/1993;11;2;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Winter;41;6;19
3006001;At so;006-P-001;11/02/1993;11;2;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Winter;41;6;2.32
3006001;At so;006-P-001;11/02/1993;11;2;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Winter;41;6;4.8
3006001;At so;006-P-001;11/02/1993;11;2;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Winter;41;6;30.5
3006001;At so;006-P-001;11/02/1993;11;2;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Winter;41;6;7
3006001;At so;006-P-001;08/03/1993;8;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;66;9;1.1
3006001;At so;006-P-001;08/03/1993;8;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;66;9;29.98
3006001;At so;006-P-001;08/03/1993;8;3;1993;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Spring;66;9;0.93
3006001;At so;006-P-001;30/04/1992;30;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Spring;120;17;18.67
3006001;At so;006-P-001;30/04/1992;30;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Spring;120;17;0.13
3006001;At so;006-P-001;30/04/1992;30;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;120;17;32
3006001;At so;006-P-001;30/04/1992;30;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Spring;120;17;0.15
3006001;At so;006-P-001;30/04/1992;30;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;120;17;11
3006001;At so;006-P-001;14/05/1992;14;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Spring;134;19;9.13
3006001;At so;006-P-001;14/05/1992;14;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;134;19;24.79
3006001;At so;006-P-001;14/05/1992;14;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;134;19;3.5
3006001;At so;006-P-001;14/05/1992;14;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Spring;134;19;4.89
3006001;At so;006-P-001;14/05/1992;14;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Spring;134;19;0.41
3006001;At so;006-P-001;14/05/1992;14;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;134;19;31
3006001;At so;006-P-001;14/05/1992;14;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Spring;134;19;0.42
3006001;At so;006-P-001;14/05/1992;14;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;134;19;13
3006001;At so;006-P-001;29/05/1992;29;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Spring;149;21;8.49
3006001;At so;006-P-001;29/05/1992;29;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;149;21;30.7
3006001;At so;006-P-001;29/05/1992;29;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;149;21;0.34
